,energy,impact,latitude,longitude,altitude,velocity,vx,vy,vz
69,5.0,0.16,51.8,11.2,31.6,14.1,-2.9,-1.0,-13.8
70,7.5,0.23,48.7,74.0,29.4,18.3,-5.0,-13.0,-11.9
71,5.7,0.18,40.8,41.7,29.3,14.9,-6.0,-7.3,-11.5
72,4.1,0.14,44.8,131.0,31.2,14.5,-13.0,-4.0,-5.0
73,12.4,0.37,38.3,23.5,26.5,20.7,-10.0,3.2,17.8
74,39.4,1.0,53.3,90.8,24.3,19.8,-5.2,2.2,19.0
75,11.5,0.34,45.7,15.1,34.5,21.5,-18.2,-11.3,-2.1
76,2.7,0.095,28.2,76.7,41.7,31.7,-27.8,-14.3,-5.2
77,4.4,0.15,30.4,1.5,32.5,19.8,-2.0,-16.6,-10.6
78,2.6,0.092,28.0,35.8,32.0,21.2,-18.6,-9.0,-4.7
79,2.8,0.098,33.1,34.3,43.3,27.4,-7.5,-23.5,-11.9
80,9.7,0.29,19.4,66.0,14.5,15.5,-13.2,8.1,1.2
81,5.9,0.19,71.7,116.4,27.8,12.9,9.8,-4.5,7.0
82,6.5,0.21,56.5,147.6,35.5,22.2,14.9,-8.1,-14.3
83,3.9,0.13,47.7,161.7,37.0,17.8,13.7,-10.9,-3.3
84,2.7,0.095,35.7,31.7,35.0,13.0,-11.6,-2.5,-5.4
85,2.5,0.089,22.1,25.7,22.5,24.7,-22.8,-5.5,7.6
86,11.0,0.33,10.4,143.3,38.0,27.4,5.2,12.3,23.9
87,20.6,0.57,44.3,122.9,47.3,14.1,1.5,-12.9,-5.4
88,2.3,0.082,12.5,107.2,52.0,20.4,-10.1,11.2,13.7
89,10.9,0.33,38.6,33.5,38.0,15.9,-12.9,8.1,4.6
90,4.2,0.14,18.6,126.9,27.4,13.5,5.2,-8.1,9.5
91,16.9,0.48,54.5,9.2,42.0,18.5,-18.1,-0.4,3.7
92,5.9,0.19,24.9,47.8,30.6,17.2,-11.7,11.7,4.6
93,4.0,0.13,21.9,130.4,39.8,13.4,11.1,-5.2,5.4
94,2.5,0.089,38.9,7.0,36.0,14.9,-3.9,4.0,-13.8
95,25.5,0.69,44.6,147.6,30.6,16.1,1.5,15.1,-5.5
96,3.2,0.11,21.2,129.5,59.0,42.3,25.2,31.2,-13.3
97,294.7,6.0,14.9,66.2,25.0,14.9,-13.4,6.0,2.5
98,4.2,0.14,56.6,25.3,24.4,17.5,3.8,-5.8,16.1
99,4.9,0.16,19.2,89.4,29.2,15.8,0.2,-15.7,2.1
100,65.6,1.6,38.8,137.5,31.5,11.5,4.4,-8.5,6.4
101,3.3,0.11,23.6,132.8,33.3,15.2,7.3,-12.2,5.3
102,12.4,0.37,48.8,67.8,33.3,11.4,3.4,-4.2,10.0
103,2.9,0.1,18.3,74.6,30.6,15.9,-2.5,5.9,-14.6
104,7.0,0.22,56.5,94.9,41.5,18.1,6.2,11.1,-12.9
105,2.0,0.073,24.0,140.3,28.7,16.2,10.2,0.4,12.6
106,4.6,0.15,63.7,95.7,31.5,14.4,5.4,-13.2,1.7
107,195.8,4.2,15.5,25.3,26.0,20.8,-16.6,-12.6,0.6
108,57.9,1.4,22.5,83.8,23.7,16.3,-2.4,13.6,8.7
109,3.6,0.12,18.0,6.5,42.5,11.6,-8.6,-5.9,5.0
110,8.9,0.27,47.5,174.4,31.8,16.5,9.9,7.6,10.8
111,3133.0,49.0,56.9,172.4,26.0,13.6,6.3,-3.0,-31.2
112,42.2,1.1,25.3,6.7,27.4,17.4,-10.1,13.9,3.0
113,22.0,0.61,47.3,172.9,32.5,19.1,7.6,17.3,-2.7
114,3.8,0.13,39.8,31.7,31.5,14.7,-13.2,-6.5,-0.4
115,80.6,1.9,23.5,56.8,33.0,16.5,-16.2,2.8,0.6
116,5.3,0.17,34.3,44.9,40.7,12.5,-11.0,2.5,-5.5
117,2.4,0.086,1.7,141.4,33.0,16.1,9.8,-9.6,-8.4
118,87.7,2.1,76.9,69.0,43.3,24.4,20.4,12.9,-3.8
119,2.9,0.1,32.0,12.1,63.0,14.1,-10.0,-1.0,-9.9
120,122.4,2.8,52.8,38.1,27.2,14.4,-8.9,-4.3,-10.5
121,37.5,0.98,21.2,23.3,28.7,16.9,0.9,-16.4,3.9
122,3.8,0.13,46.9,7.5,39.0,11.5,1.3,-2.1,-11.2
123,3.0,0.1,45.5,1.4,34.0,13.1,8.7,-9.5,2.5
124,3.6,0.12,59.0,45.8,28.2,14.6,7.1,-4.6,11.9
125,7.2,0.23,7.5,3.6,30.0,20.9,-9.1,-2.5,18.6
